S,strategy,map_ports,map_lat,page,mask,txns_per_cycle_ci,mean,ci95_hw,n,hypothesis
1MiB,mod384,1,1,open,full,0.064953 ± 0.000000 (n=3),0.06495340299350466,0.0,3,H-DRAM-BB
1MiB,mod384,1,1,open,rand1/16,0.064960 ± 0.000012 (n=3),0.06495951913314624,1.1987633697480943e-05,3,H-DRAM-BB
1MiB,mod384,1,1,open,third,0.064960 ± 0.000012 (n=3),0.06495951913314624,1.1987633697480943e-05,3,H-DRAM-BB
1MiB,mod384,4,1,open,full,0.064935 ± 0.000000 (n=3),0.06493506493506493,0.0,3,H-DRAM-BB
1MiB,mod384,4,1,open,rand1/16,0.064935 ± 0.000000 (n=3),0.06493506493506493,0.0,3,H-DRAM-BB
1MiB,mod384,4,1,open,third,0.064929 ± 0.000012 (n=3),0.06492895569948914,1.1974101728539078e-05,3,H-DRAM-BB
1MiB,sns,1,1,open,full,1.000000 ± 0.000000 (n=3),1.0,0.0,3,H-DRAM-BB
1MiB,sns,1,1,open,rand1/16,0.949120 ± 0.005132 (n=3),0.9491203205664555,0.005131795388442095,3,H-DRAM-BB
1MiB,sns,1,1,open,third,0.751655 ± 0.005559 (n=3),0.7516553936832574,0.005559453058842037,3,H-DRAM-BB
1MiB,sns,4,1,open,full,3.709677 ± 0.000000 (n=3),3.7096774193548385,0.0,3,H-DRAM-BB
1MiB,sns,4,1,open,rand1/16,3.575321 ± 0.036122 (n=3),3.5753205128205128,0.03612179487179496,3,H-DRAM-BB
1MiB,sns,4,1,open,third,3.000114 ± 0.025678 (n=3),3.000113921166553,0.025677830940988824,3,H-DRAM-BB
2MiB,mod384,1,1,open,full,0.064953 ± 0.000000 (n=3),0.06495340299350466,0.0,3,H-DRAM-BB
2MiB,mod384,1,1,open,rand1/16,0.064953 ± 0.000000 (n=3),0.06495340299350466,0.0,3,H-DRAM-BB
2MiB,mod384,1,1,open,third,0.064960 ± 0.000012 (n=3),0.06495951913314624,1.1987633697480943e-05,3,H-DRAM-BB
2MiB,mod384,4,1,open,full,0.064935 ± 0.000000 (n=3),0.06493506493506493,0.0,3,H-DRAM-BB
2MiB,mod384,4,1,open,rand1/16,0.064935 ± 0.000000 (n=3),0.06493506493506493,0.0,3,H-DRAM-BB
2MiB,mod384,4,1,open,third,0.064929 ± 0.000012 (n=3),0.06492895569948914,1.1974101728539078e-05,3,H-DRAM-BB
2MiB,sns,1,1,open,full,1.000000 ± 0.000000 (n=3),1.0,0.0,3,H-DRAM-BB
2MiB,sns,1,1,open,rand1/16,0.940068 ± 0.005007 (n=3),0.9400684170776135,0.0050068861344351595,3,H-DRAM-BB
2MiB,sns,1,1,open,third,0.745953 ± 0.003168 (n=3),0.7459529356370064,0.0031680774731278885,3,H-DRAM-BB
2MiB,sns,4,1,open,full,3.709677 ± 0.000000 (n=3),3.7096774193548385,0.0,3,H-DRAM-BB
2MiB,sns,4,1,open,rand1/16,3.538462 ± 0.000000 (n=3),3.5384615384615383,0.0,3,H-DRAM-BB
2MiB,sns,4,1,open,third,2.987013 ± 0.000000 (n=3),2.987012987012987,0.0,3,H-DRAM-BB
4608B,mod384,1,1,open,full,0.942623 ± 0.000000 (n=3),0.9426229508196723,1.5386906095100995e-16,3,H-DRAM-BB
4608B,mod384,1,1,open,rand1/16,0.892639 ± 0.062508 (n=3),0.8926390228222436,0.0625075779848984,3,H-DRAM-BB
4608B,mod384,1,1,open,third,0.790159 ± 0.298829 (n=3),0.7901593230499643,0.29882871042862746,3,H-DRAM-BB
4608B,mod384,4,1,open,full,3.026316 ± 0.000000 (n=3),3.0263157894736836,6.154762438040398e-16,3,H-DRAM-BB
4608B,mod384,4,1,open,rand1/16,2.938180 ± 0.106201 (n=3),2.9381799703437133,0.10620080512928085,3,H-DRAM-BB
4608B,mod384,4,1,open,third,2.616502 ± 0.803235 (n=3),2.616502192982456,0.8032346491228071,3,H-DRAM-BB
4608B,sns,1,1,open,full,1.000000 ± 0.000000 (n=3),1.0,0.0,3,H-DRAM-BB
4608B,sns,1,1,open,rand1/16,0.943916 ± 0.002534 (n=3),0.9439159864175043,0.0025343497717510905,3,H-DRAM-BB
4608B,sns,1,1,open,third,0.753320 ± 0.008104 (n=3),0.7533202464927986,0.008103774331097068,3,H-DRAM-BB
4608B,sns,4,1,open,full,3.709677 ± 0.000000 (n=3),3.7096774193548385,0.0,3,H-DRAM-BB
4608B,sns,4,1,open,rand1/16,3.538462 ± 0.000000 (n=3),3.5384615384615383,0.0,3,H-DRAM-BB
4608B,sns,4,1,open,third,3.013564 ± 0.052040 (n=3),3.0135642135642136,0.05204040404040425,3,H-DRAM-BB
512B,mod384,1,1,open,full,1.000000 ± 0.000000 (n=3),1.0,0.0,3,H-DRAM-BB
512B,mod384,1,1,open,rand1/16,0.946640 ± 0.015805 (n=3),0.946640215180885,0.015805380898997266,3,H-DRAM-BB
512B,mod384,1,1,open,third,0.750002 ± 0.001600 (n=3),0.7500017741443301,0.0015995685280988947,3,H-DRAM-BB
512B,mod384,4,1,open,full,3.709677 ± 0.000000 (n=3),3.7096774193548385,0.0,3,H-DRAM-BB
512B,mod384,4,1,open,rand1/16,3.557449 ± 0.071149 (n=3),3.557449494949495,0.07114898989898989,3,H-DRAM-BB
512B,mod384,4,1,open,third,2.974248 ± 0.025019 (n=3),2.9742479742479744,0.025019425019424824,3,H-DRAM-BB
512B,sns,1,1,open,full,1.000000 ± 0.000000 (n=3),1.0,0.0,3,H-DRAM-BB
512B,sns,1,1,open,rand1/16,0.934959 ± 0.000000 (n=3),0.9349593495934959,0.0,3,H-DRAM-BB
512B,sns,1,1,open,third,0.730164 ± 0.002623 (n=3),0.730163635952558,0.0026230542864719006,3,H-DRAM-BB
512B,sns,4,1,open,full,3.709677 ± 0.000000 (n=3),3.7096774193548385,0.0,3,H-DRAM-BB
512B,sns,4,1,open,rand1/16,3.484848 ± 0.000000 (n=3),3.484848484848485,0.0,3,H-DRAM-BB
512B,sns,4,1,open,third,2.899262 ± 0.023776 (n=3),2.899261603375527,0.023776371308016863,3,H-DRAM-BB
512KiB,mod384,1,1,open,full,0.064953 ± 0.000000 (n=3),0.06495340299350466,0.0,3,H-DRAM-BB
512KiB,mod384,1,1,open,rand1/16,0.064953 ± 0.000000 (n=3),0.06495340299350466,0.0,3,H-DRAM-BB
512KiB,mod384,1,1,open,third,0.064960 ± 0.000012 (n=3),0.06495951913314624,1.1987633697480943e-05,3,H-DRAM-BB
512KiB,mod384,4,1,open,full,0.064935 ± 0.000000 (n=3),0.06493506493506493,0.0,3,H-DRAM-BB
512KiB,mod384,4,1,open,rand1/16,0.064935 ± 0.000000 (n=3),0.06493506493506493,0.0,3,H-DRAM-BB
512KiB,mod384,4,1,open,third,0.064929 ± 0.000012 (n=3),0.06492895569948914,1.1974101728539078e-05,3,H-DRAM-BB
512KiB,sns,1,1,open,full,0.843531 ± 0.004032 (n=3),0.8435308429941321,0.004032488907971961,3,H-DRAM-BB
512KiB,sns,1,1,open,rand1/16,0.795923 ± 0.010722 (n=3),0.7959234638665255,0.010721718138683058,3,H-DRAM-BB
512KiB,sns,1,1,open,third,0.665415 ± 0.006637 (n=3),0.665415463497447,0.006636916226617067,3,H-DRAM-BB
