trial,seed,S,base,strategy,map_ports,map_lat,page,mask,txns_per_cycle,completed,cycles,row_hit,row_miss,n_DMC,n_bank,pe_retries,poisoned,hypothesis
0,20260903,2MiB,0x0,sns,1,1,open,full,0.991379,512,552,0,19,305,493,0,0,H-DRAM-BB
0,20260903,2MiB,0x0,sns,1,1,open,rand1/16,0.929293,512,585,0,19,305,493,34,0,H-DRAM-BB
0,20260903,2MiB,0x0,sns,1,1,open,third,0.743134,512,724,0,19,305,493,176,0,H-DRAM-BB
0,20260903,2MiB,0x0,sns,1,1,close,full,1.000000,512,548,0,512,305,493,0,0,H-DRAM-BB
0,20260903,2MiB,0x0,sns,1,1,close,rand1/16,0.934959,512,582,0,512,305,493,34,0,H-DRAM-BB
0,20260903,2MiB,0x0,sns,1,1,close,third,0.743134,512,724,0,512,305,493,176,0,H-DRAM-BB
0,20260903,2MiB,0x0,sns,1,2,open,full,0.500000,512,1060,0,19,305,493,0,0,H-DRAM-BB
0,20260903,2MiB,0x0,sns,1,2,open,rand1/16,0.483193,512,1094,0,19,305,493,34,0,H-DRAM-BB
0,20260903,2MiB,0x0,sns,1,2,open,third,0.426321,512,1236,0,19,305,493,176,0,H-DRAM-BB
0,20260903,2MiB,0x0,sns,1,2,close,full,0.500000,512,1060,0,512,305,493,0,0,H-DRAM-BB
0,20260903,2MiB,0x0,sns,1,2,close,rand1/16,0.483193,512,1094,0,512,305,493,34,0,H-DRAM-BB
0,20260903,2MiB,0x0,sns,1,2,close,third,0.426321,512,1236,0,512,305,493,176,0,H-DRAM-BB
0,20260903,2MiB,0x0,sns,4,1,open,full,3.239437,512,191,0,19,305,493,0,0,H-DRAM-BB
0,20260903,2MiB,0x0,sns,4,1,open,rand1/16,3.172414,512,195,0,19,305,493,34,0,H-DRAM-BB
0,20260903,2MiB,0x0,sns,4,1,open,third,2.804878,512,218,0,19,305,493,176,0,H-DRAM-BB
0,20260903,2MiB,0x0,sns,4,1,close,full,3.538462,512,179,0,512,305,493,0,0,H-DRAM-BB
0,20260903,2MiB,0x0,sns,4,1,close,rand1/16,3.458647,512,183,0,512,305,493,34,0,H-DRAM-BB
0,20260903,2MiB,0x0,sns,4,1,close,third,2.987013,512,208,0,512,305,493,176,0,H-DRAM-BB
0,20260903,2MiB,0x0,sns,4,2,open,full,1.916667,512,302,0,19,305,493,0,0,H-DRAM-BB
