S,family,base,strategy,n_DMC,n_bank,min_mean,bks_per_dmc,bank8,maxload,minload,note
2MiB,grain512,0x0,sns,384,2304,0.9375,6-6,1,11,10,
2MiB,grain512,0x200,sns,384,2304,0.9375,6-6,1,11,10,
2MiB,grain512,0x400,sns,384,2304,0.9375,6-6,1,11,10,
2MiB,grain512,0x600,sns,384,2304,0.9375,6-6,1,11,10,
2MiB,grain512,0xe00,sns,384,2304,0.9375,6-6,1,11,10,
2MiB,grain512,0x1e00,sns,384,2304,0.9375,6-6,1,11,10,
2MiB,grain512,0x3e00,sns,384,2304,0.9375,6-6,1,11,10,
2MiB,grain512,0x7e00,sns,384,2304,0.9375,6-6,1,11,10,
2MiB,grain512,0x0,mod384,3,3,0.9998,1-1,1,1366,1365,
2MiB,grain512,0x200,mod384,3,3,0.9998,1-1,1,1366,1365,
2MiB,grain512,0x400,mod384,3,3,0.9998,1-1,1,1366,1365,
2MiB,grain512,0x600,mod384,3,3,0.9998,1-1,1,1366,1365,
2MiB,grain512,0xe00,mod384,3,3,0.9998,1-1,1,1366,1365,
2MiB,grain512,0x1e00,mod384,3,3,0.9998,1-1,1,1366,1365,
2MiB,grain512,0x3e00,mod384,3,3,0.9998,1-1,1,1366,1365,
2MiB,grain512,0x7e00,mod384,3,3,0.9998,1-1,1,1366,1365,
2MiB,grain512,0x0,low,1,1,1.0000,1-1,1,4096,4096,
2MiB,grain512,0x200,low,1,1,1.0000,1-1,1,4096,4096,
2MiB,grain512,0x400,low,1,1,1.0000,1-1,1,4096,4096,
2MiB,grain512,0x600,low,1,1,1.0000,1-1,1,4096,4096,
2MiB,grain512,0xe00,low,1,1,1.0000,1-1,1,4096,4096,
2MiB,grain512,0x1e00,low,1,1,1.0000,1-1,1,4096,4096,
2MiB,grain512,0x3e00,low,1,1,1.0000,1-1,1,4096,4096,
2MiB,grain512,0x7e00,low,1,1,1.0000,1-1,1,4096,4096,
2MiB,grain512,0x0,high,384,384,0.9375,1-1,1,11,10,
