S,family,base,strategy,t3_n_dmc,t2_n_dmc,rel_err_n_dmc,t3_n_bank,t2_n_bank,rel_err_n_bank,flag_gt_30pct
2MiB,grain512,0x0,sns,384,384,0.0,2304,2304,0.0,False
2MiB,grain512,0x200,sns,384,384,0.0,2304,2304,0.0,False
2MiB,grain512,0x400,sns,384,384,0.0,2304,2304,0.0,False
2MiB,grain512,0x600,sns,384,384,0.0,2304,2304,0.0,False
2MiB,grain512,0xe00,sns,384,384,0.0,2304,2304,0.0,False
2MiB,grain512,0x1e00,sns,384,384,0.0,2304,2304,0.0,False
2MiB,grain512,0x3e00,sns,384,384,0.0,2304,2304,0.0,False
2MiB,grain512,0x7e00,sns,384,384,0.0,2304,2304,0.0,False
2MiB,grain512,0x0,mod384,3,3,0.0,3,3,0.0,False
2MiB,grain512,0x200,mod384,3,3,0.0,3,3,0.0,False
2MiB,grain512,0x400,mod384,3,3,0.0,3,3,0.0,False
2MiB,grain512,0x600,mod384,3,3,0.0,3,3,0.0,False
2MiB,grain512,0xe00,mod384,3,3,0.0,3,3,0.0,False
2MiB,grain512,0x1e00,mod384,3,3,0.0,3,3,0.0,False
2MiB,grain512,0x3e00,mod384,3,3,0.0,3,3,0.0,False
2MiB,grain512,0x7e00,mod384,3,3,0.0,3,3,0.0,False
2MiB,grain512,0x0,low,1,1,0.0,1,1,0.0,False
2MiB,grain512,0x200,low,1,1,0.0,1,1,0.0,False
2MiB,grain512,0x400,low,1,1,0.0,1,1,0.0,False
2MiB,grain512,0x600,low,1,1,0.0,1,1,0.0,False
2MiB,grain512,0xe00,low,1,1,0.0,1,1,0.0,False
2MiB,grain512,0x1e00,low,1,1,0.0,1,1,0.0,False
2MiB,grain512,0x3e00,low,1,1,0.0,1,1,0.0,False
2MiB,grain512,0x7e00,low,1,1,0.0,1,1,0.0,False
2MiB,grain512,0x0,high,384,384,0.0,384,384,0.0,False
2MiB,grain512,0x200,high,384,384,0.0,384,384,0.0,False
2MiB,grain512,0x400,high,384,384,0.0,384,384,0.0,False
2MiB,grain512,0x600,high,384,384,0.0,384,384,0.0,False
2MiB,grain512,0xe00,high,384,384,0.0,384,384,0.0,False
2MiB,grain512,0x1e00,high,384,384,0.0,384,384,0.0,False
2MiB,grain512,0x3e00,high,384,384,0.0,384,384,0.0,False
2MiB,grain512,0x7e00,high,384,384,0.0,384,384,0.0,False
2MiB,grain512,0x0,shear,384,384,0.0,2304,2304,0.0,False
2MiB,grain512,0x200,shear,384,384,0.0,2304,2304,0.0,False
2MiB,grain512,0x400,shear,384,384,0.0,2304,2304,0.0,False
2MiB,grain512,0x600,shear,384,384,0.0,2304,2304,0.0,False
2MiB,grain512,0xe00,shear,384,384,0.0,2304,2304,0.0,False
2MiB,grain512,0x1e00,shear,384,384,0.0,2304,2304,0.0,False
2MiB,grain512,0x3e00,shear,384,384,0.0,2304,2304,0.0,False
2MiB,grain512,0x7e00,shear,384,384,0.0,2304,2304,0.0,False
2MiB,grain512,0x0,sbox,1,1,0.0,1,1,0.0,False
2MiB,grain512,0x200,sbox,1,1,0.0,1,1,0.0,False
2MiB,grain512,0x400,sbox,1,1,0.0,1,1,0.0,False
