mask,S,S_g,n,alpha_minimax,gcd_Sg_n,gcd_aSg_n,classes_AP,identity_holds,note
full-good,512B,1,48,1,1,1,48,True,AP sanity; not a substitute for XOR_fold6
full-good,3x512B,3,48,1,3,3,16,True,AP sanity; not a substitute for XOR_fold6
full-good,9x512B,9,48,1,3,3,16,True,AP sanity; not a substitute for XOR_fold6
full-good,512KiB,1024,48,1,16,16,3,True,AP sanity; not a substitute for XOR_fold6
full-good,1MiB,2048,48,1,16,16,3,True,AP sanity; not a substitute for XOR_fold6
full-good,2MiB,4096,48,1,16,16,3,True,AP sanity; not a substitute for XOR_fold6
n=40,512B,1,40,1,1,1,40,True,AP sanity; not a substitute for XOR_fold6
n=40,3x512B,3,40,1,1,1,40,True,AP sanity; not a substitute for XOR_fold6
n=40,9x512B,9,40,1,1,1,40,True,AP sanity; not a substitute for XOR_fold6
n=40,512KiB,1024,40,1,8,8,5,True,AP sanity; not a substitute for XOR_fold6
n=40,1MiB,2048,40,1,8,8,5,True,AP sanity; not a substitute for XOR_fold6
n=40,2MiB,4096,40,1,8,8,5,True,AP sanity; not a substitute for XOR_fold6
unif-25%(n=36),512B,1,36,1,1,1,36,True,AP sanity; not a substitute for XOR_fold6
unif-25%(n=36),3x512B,3,36,1,3,3,12,True,AP sanity; not a substitute for XOR_fold6
unif-25%(n=36),9x512B,9,36,1,9,9,4,True,AP sanity; not a substitute for XOR_fold6
unif-25%(n=36),512KiB,1024,36,1,4,4,9,True,AP sanity; not a substitute for XOR_fold6
unif-25%(n=36),1MiB,2048,36,1,4,4,9,True,AP sanity; not a substitute for XOR_fold6
unif-25%(n=36),2MiB,4096,36,1,4,4,9,True,AP sanity; not a substitute for XOR_fold6
unif-12.5%(n=42),512B,1,42,1,1,1,42,True,AP sanity; not a substitute for XOR_fold6
unif-12.5%(n=42),3x512B,3,42,1,3,3,14,True,AP sanity; not a substitute for XOR_fold6
unif-12.5%(n=42),9x512B,9,42,1,3,3,14,True,AP sanity; not a substitute for XOR_fold6
unif-12.5%(n=42),512KiB,1024,42,1,2,2,21,True,AP sanity; not a substitute for XOR_fold6
unif-12.5%(n=42),1MiB,2048,42,1,2,2,21,True,AP sanity; not a substitute for XOR_fold6
unif-12.5%(n=42),2MiB,4096,42,1,2,2,21,True,AP sanity; not a substitute for XOR_fold6
unif-6.25%(n=45),512B,1,45,1,1,1,45,True,AP sanity; not a substitute for XOR_fold6
unif-6.25%(n=45),3x512B,3,45,1,3,3,15,True,AP sanity; not a substitute for XOR_fold6
unif-6.25%(n=45),9x512B,9,45,1,9,9,5,True,AP sanity; not a substitute for XOR_fold6
unif-6.25%(n=45),512KiB,1024,45,1,1,1,45,True,AP sanity; not a substitute for XOR_fold6
unif-6.25%(n=45),1MiB,2048,45,1,1,1,45,True,AP sanity; not a substitute for XOR_fold6
unif-6.25%(n=45),2MiB,4096,45,1,1,1,45,True,AP sanity; not a substitute for XOR_fold6
3-biased(n=32),512B,1,32,1,1,1,32,True,AP sanity; not a substitute for XOR_fold6
3-biased(n=32),3x512B,3,32,1,1,1,32,True,AP sanity; not a substitute for XOR_fold6
3-biased(n=32),9x512B,9,32,1,1,1,32,True,AP sanity; not a substitute for XOR_fold6
3-biased(n=32),512KiB,1024,32,1,32,32,1,True,AP sanity; not a substitute for XOR_fold6
3-biased(n=32),1MiB,2048,32,1,32,32,1,True,AP sanity; not a substitute for XOR_fold6
3-biased(n=32),2MiB,4096,32,1,32,32,1,True,AP sanity; not a substitute for XOR_fold6
