S,mask,strategy,t3_cls_mean,t2_cls_mean,rel_err_cls,t3_n_bank,t2_n_bank,rel_err_n_bank,t3_dead,t2_dead,flag_gt_30pct
512B,full-good,skip-dead,9.333333333333334,9.333333333333334,0.0,3584,3584,0.0,0,0,False
512B,full-good,stack,9.333333333333334,,0.0,3584,,0.0,0,,False
512B,full-good,modn-a1,9.333333333333334,9.333333333333334,0.0,3584,3584,0.0,0,0,False
512B,full-good,minimax,9.333333333333334,9.333333333333334,0.0,3584,3584,0.0,0,0,False
512B,n=40,skip-dead,9.333333333333334,9.333333333333334,0.0,3584,3584,0.0,0,0,False
512B,n=40,stack,9.333333333333334,,0.0,3584,,0.0,0,,False
512B,n=40,modn-a1,10.666666666666666,10.666666666666666,0.0,4096,4096,0.0,0,0,False
512B,n=40,minimax,10.666666666666666,10.666666666666666,0.0,4096,4096,0.0,0,0,False
512B,unif-25%(n=36),skip-dead,8.083333333333334,8.083333333333334,0.0,3104,3104,0.0,0,0,False
512B,unif-25%(n=36),stack,8.666666666666666,,0.0,3328,,0.0,0,,False
512B,unif-25%(n=36),modn-a1,8.0,8.0,0.0,3072,3072,0.0,0,0,False
512B,unif-25%(n=36),minimax,8.0,8.0,0.0,3072,3072,0.0,0,0,False
512B,unif-12.5%(n=42),skip-dead,8.916666666666666,8.916666666666666,0.0,3424,3424,0.0,0,0,False
512B,unif-12.5%(n=42),stack,9.083333333333334,,0.0,3488,,0.0,0,,False
512B,unif-12.5%(n=42),modn-a1,10.0,10.0,0.0,3840,3840,0.0,0,0,False
512B,unif-12.5%(n=42),minimax,10.0,10.0,0.0,3840,3840,0.0,0,0,False
512B,unif-6.25%(n=45),skip-dead,9.166666666666666,9.166666666666666,0.0,3520,3520,0.0,0,0,False
512B,unif-6.25%(n=45),stack,9.333333333333334,,0.0,3584,,0.0,0,,False
512B,unif-6.25%(n=45),modn-a1,9.833333333333334,9.833333333333334,0.0,3776,3776,0.0,0,0,False
512B,unif-6.25%(n=45),minimax,9.833333333333334,9.833333333333334,0.0,3776,3776,0.0,0,0,False
